f_location,latitude,longitude,location
"PINSAO DHC,PUROK 6 PINSAO PILOT,Philippines",16.4269861,120.582141,"Pinsao Rd, Baguio, Benguet, Philippines"
"QUEZON HILL DHC,MIDDLE QUEZON HILL,Philippines",12.879721,121.774017,Philippines
"QUIRINO DHC,MIDDLE QUIRINO HILL,Philippines",16.42987,120.5930199,"Quirino Hill, Middle, Baguio, Benguet, Philippines"
"SCOUT BARRIO DHC,PUROK 6 SCOUT BARRIO,Philippines",16.3957896,120.6088428,"Scout Barrio, Camp John Hay, Baguio, Benguet, Philippines"
"SM,LUNETA HILL UPPER SESSION ROAD, BAGUIO CITY,Philippines",16.4088814,120.5991997,"SM City Baguio Luneta Hill, Upper Session Rd, Baguio, 2600 Benguet, Philippines"
"Atok Rural Health Unit,Km24 Caliking, Atok, Benguet,Philippines",16.5300197,120.6832556,"Caliking, Atok, Benguet, Philippines"
"Bakun Rural Health Unit,Ampusongan, Bakun, Benguet,Philippines",16.8079575,120.6890055,"RM5Q+5JJ, Bakun, 2610 Benguet, Philippines"
"Bokod Rural Health Unit,Poblacion, Bokod, Benguet,Philippines",16.5343251,120.7044794,"GPM3+PQF, Atok, Benguet, Philippines"
"Buguias Rural Health Unit,Loo, Buguias, Benguet,Philippines",16.7882781,120.8318551,"QRQJ+8P9, Buguias, Benguet, Philippines"
"Itogon Rural Health Unit,Poblacion, Itogon, Benguet,Philippines",16.3705183,120.6947551,"Poblacion (Central), Itogon, Benguet, Philippines"
"Kabayan Rural Health Unit,Poblacion, Kabayan, Benguet,Philippines",16.6250939,120.8386069,"JRGQ+2CQ, Kabayan, Benguet, Philippines"
"Kapangan Rural Health Unit,Tumpic, Labueg, Kapangan, Benguet,Philippines",16.5759467,120.6070078,"Tumpic Road, Kapangan, 2613 Benguet, Philippines"
"Kibungan Rural Health Unit,Poblacion, Kibungan, Benguet,Philippines",16.693545,120.6526968,"MMV3+C38, Kibungan, Benguet, Philippines"
"La Trinidad Rural Health Unit,Poblacion, La Trinidad, Benguet,Philippines",16.4636573,120.5811515,"Poblacion, La Trinidad, Benguet, Philippines"
"Mankayan Rural Health Unit,Poblacion, Mankayan, Benguet,Philippines",16.8566122,120.7925891,"VQ4V+J2W, Cervantes - Mankayan - Abatan Rd, Mankayan, Benguet, Philippines"
"Sablan Rural Health Unit,Central Poblacion, Sablan, Benguet,Philippines",16.4885206,120.5163949,"National Road, Poblacion, FGQ8+CH2, Sablan, 2614 Benguet, Philippines"
"Tuba Rural Health Unit,Poblacion, Tuba, Benguet,Philippines",16.3926755,120.5598924,"9HV5+3XC, Tuba, Benguet, Philippines"
"Tublay Rural Health Unit,Acop, Caponga, Tublay. Benguet,Philippines",16.4811622,120.6602534,"Caponga (Pob.), Benguet, Philippines"
"Aguinaldo Rural Health Unit,Purok I, Galonogon, Aguinaldo,Philippines",16.9733978,121.343565,"National Road, Barangay Galonogon, X8FV+9C4, Aguinaldo, 3606 Ifugao, Philippines"
"Alfonso Lista Rural Health Unit,Santa Maria, Alfonso Lista,Philippines",16.988521,121.4913182,"Alfonso Lista, Ifugao, Philippines"
"Asipulo Rural Health Unit,Neduntog , Antipolo, Asipulo,Philippines",14.6254827,121.1244847,"Antipolo, Rizal, Philippines"
"Banaue Rural Health Unit,Poblacion , Banaue,Philippines",16.9472907,121.0560322,"National Highway, Poblacion, W3W4+WC7, Banaue, 3601 Ifugao, Philippines"
"Hingyon Rural Health Unit,Culob, Bitu,  Hingyon,Philippines",16.8614658,121.1114722,"National Road, Culub Bitu, V466+HHQ, Hingyon, 3607 Ifugao, Philippines"
"Hungduan Rural Health Unit,Namugong, Poblacion, Hungduan,Philippines",16.8389028,121.0105733,"Hungduan, Ifugao, Philippines"
"Kiangan Rural Health Unit,Centro, Poblacion, Kiangan,Philippines",16.7764147,121.0866322,"Q3GP+HM6, Kiangan, Ifugao, Philippines"
"Lagawe Rural Health Unit,St. Mary Magdalene Street, Poblacion South, Lagawe,Philippines",16.7929281,121.1209165,"Poblacion South, Ifugao, Philippines"
"Lamut Rural Health Unit,Poblacion West, Lamut,Philippines",16.6712161,121.2139841,"Poblacion West, Lamut, Ifugao, Philippines"
"Mayoyao Rural Health Unit,Galliw, Poblacion, Mayoyao,Philippines",16.9736865,121.2214303,"X6FC+FHF, Mayoyao, Ifugao, Philippines"
"Tinoc Rural Health Unit,Kumelbeng, Tinoc,Philippines",16.6782924,120.9357098,"MWHP+878, Tinoc, Ifugao, Philippines"
"BALBALAN RHU,Poblacion, Salegseg, Balbalan,Philippines",17.5017472,121.2014153,"G622+MH2, Balbalan, Kalinga, Philippines"
"LUBUAGAN RHU,Poblacion, Lubuagan, Kalinga,Philippines",17.3018126,121.0105733,"Lubuagan, Kalinga, Philippines"
"PASIL,Amdalao, Pasil, Kalinga,Philippines",17.4124793,121.1022942,"Pasil, Kalinga, Philippines"
"JUNCTION, PINUKPUK RHU,Junction, Pinukpuk, Kalinga,Philippines",17.6094461,121.4171511,"JC58+QV, Pinukpuk, Kalinga, Philippines"
"TAGA, PINUKPUK RHU,Taga, Pinukpuk, Kalinga,Philippines",17.6094461,121.4171511,"JC58+QV, Pinukpuk, Kalinga, Philippines"
"RIZAL RHU,Liwan East, Rizal, Kalinga,Philippines",17.4974231,121.6397184,"Liwan East, Kalinga, Philippines"
"RURAL HEALTH UNIT 1,Dagupan, Tabuk City, Kalinga,Philippines",17.4725149,121.466725,"FFF8+2M5, Tabuk, Kalinga, Philippines"
"RURAL HEALTH UNIT 2,Calanan, Tabuk City, Kalinga,Philippines",17.403331,121.413675,"CC37+8FM, Tabuk, Kalinga, Philippines"
"RURAL HEALTH UNIT 3,Bulanao, Tabuk City, Kalinga,Philippines",17.4101198,121.4390642,"Purok 6, National Highway, Bulanao, CC5Q+RM5, Tabuk, Kalinga, Philippines"
"RURAL HEALTH UNIT 4,Agbannawag, Tabuk City, Kalinga,Philippines",17.3455928,121.548418,"Agbannawag, Tabuk, Kalinga, Philippines"
"TANUDAN RHU,Mabaca, Tanudan, Kalinga,Philippines",17.3473037,121.2969674,"Mabaca, Kalinga, Philippines"
"TINGLAYAN RHU,Poblacion, Tinglayan, Kalinga,Philippines",17.2623251,121.1338071,"746M+WGM, Poblacion - Tulgao Rd, Tinglayan, Kalinga, Philippines"
"PROVINCIAL HEALTH OFFICE,Bulanao, Tabuk City, Kalinga,Philippines",17.3785499,121.4798948,"Bulanao, Tabuk, Kalinga, Philippines"
"PARACELIS MUNICIPAL HEALTH OFFICE,DAGAWE EAST, BRGY. POBLACION, PARACELIS, MOUNTAIN PROVINCE,Philippines",17.1813672,121.4040644,"5CJ3+HJ2, Paracelis, Mountain Province, Philippines"
"ANONAT BHS 1; ANONAT BHS 2; PALITOD BHS; BUTIGUE BHS; BANANAO BHS; BANTAY BHS; BURINGAL BHS 1; BURINNGAL BHS 2; BACARRI BHS; BUNOT BHS 1; BUNOT BHS 2; POBLACION BHS,PARACELIS, MOUNTAIN PROVINCE,Philippines",12.6679167,123.9881642,"Pan-Philippine Hwy, Philippines"
"BONTOC MUNICIPAL HEALTH OFFICE,POBLACION, BONTOC MOUNTAIN PROVINCE,Philippines",17.086063,120.9769961,"3XPG+CQH, Bontoc, Mountain Province, Philippines"
"BONTOC GENERAL HOSPITAL,UPPER CALUTTIT,BONTOC, MT. PROVINCE,Philippines",17.0937205,120.9765537,"3XVG+FJM, Maligcong Rd, Bontoc, 2616 Mountain Province, Philippines"
"Barlig Municipal Health Office,Poblacion, Barlig Mountain Province,Philippines",17.086063,120.9769961,"3XPG+CQH, Bontoc, Mountain Province, Philippines"
"Lias BHS,Lias, Barlig Mountain Province,Philippines",17.0834266,121.1441902,"Lias, Barlig, Mountain Province, Philippines"
"Kadaclan Cluster (Chupac BHS, Lunas BHS), Kaleo BHS, Ogo-og BHS,Kadaclan, Barlig Mountain Province,Philippines",17.0589194,121.1970557,"355W+HR7, Kadaclan Rd, Barlig, Mountain Province, Philippines"
"TADIAN MHSO,PAPATAYAN, POBLACION TADIAN MT. PROVINCE,Philippines",17.0041364,120.8240513,"Poblacion, Tadian, Mountain Province, Philippines"
"BALAOA BHS, BANAAO BHS, BANTEY BHS, BATAYAN BHS, BUNGA BHS, CADAD-ANAN BHS, CAGUBATAN BHS, DACUDAC BHS, DUAGAN BHS, KAYAN EAST BHS, KAYAN WEST BHS, LENGA BHS, LUBON BHS, MABALITE BHS, MASLA BHS, PANDAYAN BHS, SUMADEL BHS & TUE BHS,TADIAN MT. PROVINCE,Philippines",16.9858241,120.799639,"Kayan East, Tadian, Mountain Province, Philippines"
"SADANGA LYING-IN CLINIC,POBLACION,SADANGA, MOUNTAIN PROVINCE,Philippines",17.0902441,120.977594,"Poblacion, Bontoc, Mountain Province, Philippines"
"TABRAK,ANABEL,TABRAK,ANABEL, MOUNTAIN PROVINCE ,Philippines",17.1681373,121.026298,"Tabrak, Sadanga, Mountain Province, Philippines"
"NATONIN MUNICIPAL HEALTH OFFICE,POBLACION, NATONIN, MOUNTAIN PROVINCE,Philippines",17.1813739,121.4041181,"Paracelis Municipal Hall, Paracelis-Calaccad Road, 2625, Paracelis, Mountain Province, Philippines"
"BANAO BHS; TONGLAYAN BHS; PUDO BHS; ALUNOGAN BHS;STA. ISABEL BHS; BUTAC BHS; BALANGAO BHS; BATNONG BHS; PANGTOR BHS; TUBOY BHS; TAPPO BHS; SALIOK BHS; MADUCAYAN BHS,NATONIN, MOUNTAIN PROVINCE,Philippines",17.1620905,121.2740813,"Maducayan, Natonin, Mountain Province, Philippines"
"SAGADA MUNICIPAL HEALTH OFFICE,PATAY, SAGADA, MOUNTAIN PROVINCE,Philippines",17.0845855,120.9003709,"3WM2+R4Q, Sagada, Mountain Province, Philippines"
"KILONG BHS; MADONGO BHS; AGUID BHS; AMBASING BHS; ANKILENG BHS; SUYO BHS,TADIAN, MOUNTAIN PROVINCE,Philippines",17.0511222,120.8972593,"Ankileng, Sagada, Mountain Province, Philippines"
"BAUKO MUNICIPAL HEALTH OFFICE,BAUKO,MOUNTAIN PROVINCE,Philippines",16.9959739,120.8225482,"XRWF+92M, Tagudin - Cervantes - Sabangan Rd, Tadian, Mountain Province, Philippines"
"LUIS HORA MEMORIAL REGIONAL HOSPITAL ,BAUKO,MOUNTAIN PROVINCE,Philippines",16.9810322,120.8537722,"XVJ3+CG6, Tagudin - Cervantes - Sabangan Rd, Bauko, Mountain Province, Philippines"
"BESAO MUNICIPAL HEALTH OFFICE,BESAO,MOUNTAIN PROVINCE,Philippines",17.0845855,120.9003709,"3WM2+R4Q, Sagada, Mountain Province, Philippines"
