f_location,latitude,longitude,location
"Apotheek Genot,Koekelberglaan Gentsesteenweg 1035 1082,nan,Belgium",50.8617642,4.3025024,"Chau. de Gand 1035, 1082 Berchem-Sainte-Agathe, Belgium"
"Apotheek Ghijselings,Haachtsesteenweg  1019,Evere,Belgium",50.8746313,4.4027174,"Chau. de Haecht 1019, 1140 Evere, Belgium"
"Apotheek Godin,Tervuursesteenweg  46,Oudergem,Belgium",50.8165333,4.4341743,"Chau. de Tervueren 46, 1160 Bruxelles, Belgium"
"Apotheek Goffin,Graystraat (In de buurt van Jourdanplaats) 6,Etterbeek,Belgium",50.8363131,4.3811333,"Rue Gray 2, 1040 Etterbeek, Belgium"
"Apotheek Hardy,Bergensesteenweg  1045,Anderlecht,Belgium",50.8247561,4.2963663,"Bergensesteenweg 1045, 1070 Anderlecht, Belgium"
"Apotheek Hayat,Josaphatstraat  228,Schaarbeek,Belgium",50.8613555,4.376145,"Rue Josaphat 228, 1030 Schaerbeek, Belgium"
"Apotheek Hecq,Jozef II straat  21,Brussel,Belgium",50.8459525,4.3709627,"Rue Joseph II 21, 1000 Bruxelles, Belgium"
"Apotheek Hellin,Louis Lepoutrelaan  67,Elsene,Belgium",50.8335711,4.366433,"Ixelles, Belgium"
"Apotheek Herzeel,Jubelfeestlaan  194,Sint-Jans-Molenbeek,Belgium",50.8687842,4.3414724,"Bd du Jubil¨¦ 194, 1080 Molenbeek-Saint-Jean, Belgium"
"Apotheek Hildegard,H Consciencelaan  113,Evere,Belgium",50.8698197,4.3999427,"Avenue H. Conscience 113, 1140 Evere, Belgium"
"Apotheek Hippocrate,Hippocratuslaan  10,Sint-Lambrechts-Woluwe,Belgium",50.8528248,4.4517508,"Av. Hippocrate 10, 1200 Woluwe-Saint-Lambert, Belgium"
"Apotheek Jehaes,Rogierlaan (Bij Meiserplein) 407,Schaarbeek,Belgium",50.855195,4.396298,"Av. Rogier 407, 1030 Schaerbeek, Belgium"
"Apotheek Jubelpark,Tongerenstraat  8,Etterbeek,Belgium",50.8397436,4.3994672,"Rue des Tongres 8, 1040 Etterbeek, Belgium"
