f_location,latitude,longitude,location
"71-72 Patrick Street, Cork City, Cork, T12 KDC0,Ireland",51.89862,-8.474577,"71, 72 St Patrick's St, Centre, Cork, Ireland"
"Unit 37-39 Wilton Shopping Centre, Wilton, Cork, T12 YK23,Ireland",51.8809373,-8.5075836,"1 Sarsfield Rd, Wilton, Cork, D10 PK33, Ireland"
"4A Iona Park, Mayfield, Cork, T23 EH11,Ireland",51.91185979999999,-8.4386628,"4A Iona Park, Mayfield, Cork, T23 EH11, Ireland"
"84 Barrack Street, Cork City, Cork, T12 HW84,Ireland",51.8928267,-8.4804648,"84 Barrack St, The Lough, Cork, T12 HW84, Ireland"
"3 Douglas East, Douglas, Cork, T14 X722,Ireland",51.8766616,-8.435154100000002,"x722, Tramway Terrace, 3 E Douglas St, Douglas, Cork, Ireland"
"Kilnagleary Road, Estuary Business Park, Carrigaline, Cork, P43 PX99,Ireland",51.8164452,-8.3912494,"Carrigaline, Co. Cork, Ireland"
"Unit 2-3 Carrigtwohill Shopping Centre, Carrigtwohill, Cork, T45 RH76,Ireland",51.9091592,-8.2566174,"Carrigtwohill Shopping & Business Centre, Carrigtohill, Co. Cork, T45 W673, Ireland"
"Charleville Health Centre, Charleville, Cork, P56 TP20,Ireland",52.35729749999999,-8.6790158,"Charleville Health Centre, Kilmallock Rd, Rathgoggan Middle, Charleville, Co. Cork, Ireland"
"Unit 3 West City Retail Park, Innishmore, Ballincollig, Cork, P31 D256,Ireland",51.8874563,-8.6096566,"Innismore, Ballincollig, Co. Cork, Ireland"
"33-34 Main Street, Skibbereen, Cork, P81 T327,Ireland",51.5490576,-9.2671218,"33/34 Main St, Gortnaclohy, Skibbereen, Co. Cork, P81 N2W8, Ireland"
"76 North Main Street, Youghal-lands, Youghal, Cork, P36 NY83,Ireland",51.9532587,-7.847693599999999,"76 N Main St, Youghal-Lands, Youghal, Co. Cork, P36 NY83, Ireland"
"The Square, Cloyne, Cork, P25 TW96,Ireland",51.8632347,-8.1210921,"Town Parks, Co. Cork, P25 TW96, Ireland"
"3 East Beach, Cobh, Cork, P24DX93,Ireland",51.8505281,-8.2914008,"3 East Beach, Kilgarvan, Cobh, Co. Cork, P24 DX93, Ireland"
"63 College Road, Glasheen, Cork, T12 X5F3,Ireland",51.8917059,-8.4942431,"63 College Rd, Glasheen, Cork, T12 X5F3, Ireland"
"Lower Point Road, Crosshaven, Cork, P43 DT66,Ireland",51.8062712,-8.2910237,"Point Rd, Co. Cork, Ireland"
"Market Square, Dunmanway, Cork, P47 XH31,Ireland",51.7216812,-9.114217,"Market Square, Dunmanway North, Co. Cork, Ireland"
"Unit 11/12 North Main Street Shopping Centre, North Main Street, Cork City, Cork, T12 E77Y,Ireland",51.9003726,-8.478857,"Unit 10 N Main St, Centre, Cork, T12 PNX5, Ireland"
"Main Street, Ballymakeery, Ballymakeera, Cork, P12 XY03,Ireland",51.9364377,-9.1453699,"Ballymakeery, Co. Cork, P12 XY03, Ireland"
"Dennehy's Cross, Wilton Road, Cork City, Cork, T12 WPW6,Ireland",51.8859597,-8.50675,"Wilton Rd, Glasheen, Cork, Ireland"
"Main Street, Doneraile, Cork, P51 VR98,Ireland",52.2170257,-8.5850577,"Doneraile, Co. Cork, P51 VR98, Ireland"
"Clermont, Douglas Road, Douglas, Cork, X91 K2WV,Ireland",51.8808435,-8.442522499999999,"Clermont, Douglas Rd, Douglas, Cork, T12 H024, Ireland"
"Douglas Road, Ballinlough, Cork,Ireland",51.8845421,-8.449718,"Douglas Rd, Ballinlough, Cork, Ireland"
"Main Street, Drimoleague, Cork, P47 TN22,Ireland",51.6609102,-9.2601002,"Dromdaleague, Co. Cork, P47 TN22, Ireland"
