f_location,latitude,longitude,location
"1 Ara Tai Road, Half Moon Bay, Auckland,NewZealand",-36.8811126,174.899861,"1 Ara-Tai Road, Half Moon Bay, Auckland 2012, New Zealand"
"3 Patteson Avenue, Mission Bay, Auckland,NewZealand",-36.8485693,174.8315182,"3 Patteson Avenue, Mission Bay, Auckland 1071, New Zealand"
"307 St Aubyn Street West, Hastings,NewZealand",-39.6371861,176.8440337,"307 Saint Aubyn Street West, Hastings 4122, New Zealand"
"17 Wakefield Avenue, Sumner, Christchurch,NewZealand",-43.56937019999999,172.7597957,"17 Wakefield Avenue, Sumner, Christchurch 8081, New Zealand"
"135 Witako Street, Epuni, Lower Hutt,NewZealand",-41.2054021,174.9277646,"135 Witako Street, Epuni, Lower Hutt 5011, New Zealand"
"225 Onewa Road, Birkenhead, Auckland,NewZealand",-36.8097946,174.7272096,"225 Onewa Road, Birkenhead, Auckland 0626, New Zealand"
"22 Stoddard Road, Mount Roskill, Auckland,NewZealand",-36.90733,174.7336455,"22 Stoddard Road, Wesley, Auckland 1041, New Zealand"
"Not found address,NewZealand",-40.900557,174.885971,New Zealand
"Not found address,NewZealand",-40.900557,174.885971,New Zealand
"2 Rosemont Road, Waihi,NewZealand",-37.3916421,175.840343,"2 Rosemont Road, Waihi 3610, New Zealand"
"408 Titirangi Road, Titirangi, Auckland,NewZealand",-36.9379098,174.6566027,"408 Titirangi Road, Titirangi, Auckland 0604, New Zealand"
"42 Oxford Street, Richmond,NewZealand",-41.3403827,173.1843893,"42 Oxford Street, Richmond 7020, New Zealand"
"173 Anglesea Street, Hamilton,NewZealand",-37.791489,175.2827958,"173 Anglesea Street, Hamilton Central, Hamilton 3204, New Zealand"
"53 Main Street, Upper Hutt,NewZealand",-41.1244944,175.0680311,"53 Main Street, Upper Hutt Central, Upper Hutt 5018, New Zealand"
"10 Aylesbury Street, Pakuranga, Auckland,NewZealand",-36.91331350000001,174.8712569,"10 Aylesbury Street, Pakuranga, Auckland 2010, New Zealand"
"51-57 Fifteenth Avenue, Tauranga South, Tauranga,NewZealand",-37.709349,176.163567,"51 Fifteenth Avenue, Tauranga South, Tauranga 3112, New Zealand"
"Manukau Supa Centa, Cnr Lambie & Cavendish Drives, Manukau, Auckland,NewZealand",-36.99164,174.8714373,"Corner Lambie &, Cavendish Drive, Manukau City Centre, Auckland 2104, New Zealand"
"7E Factory Road, Waimauku,NewZealand",-36.767531,174.494553,"7E Factory Road, Waimauku 0812, New Zealand"
"T¨¡maki Health Hub, 75 Felton Mathew Avenue, Saint Johns, Auckland,NewZealand",-36.8763557,174.8512006,"75 Felton Mathew Avenue, St Johns, Auckland 1072, New Zealand"
"42 Girven Road, Mount Maunganui,NewZealand",-37.6745604,176.2277994,"42 Girven Road, Mount Maunganui 3116, New Zealand"
"Cnr Madras Street & Moorhouse Avenue, Christchurch,NewZealand",-43.5398504,172.6427217,"Moorhouse Ave & Madras St, Sydenham, Christchurch 8011, New Zealand"
"240-242 Jackson Street, Petone, Lower Hutt,NewZealand",-41.2253838,174.878295,"240 Jackson Street, Petone, Lower Hutt 5012, New Zealand"
"205 Great South Road, Greenlane, Auckland,NewZealand",-36.8904651,174.7936882,"205 Great South Road, Greenlane, Auckland 1051, New Zealand"
"6 High Street, Picton,NewZealand",-41.28898969999999,174.0071085,"6 High Street, Picton 7220, New Zealand"
"Westcity Waitakere, 7 Catherine Street, Henderson, Auckland,NewZealand",-36.8809739,174.6327652,"7 Catherine Street, Henderson, Auckland 0612, New Zealand"
"4/39 Whatawhata Road, Hamilton,NewZealand",-37.7955607,175.2458446,"4/39 Whatawhata Road, Dinsdale, Hamilton 3204, New Zealand"
"115 Church Street, ¨­t¨¡huhu, Auckland,NewZealand",-36.9444773,174.8463469,"115 Church Street, Ōtāhuhu, Auckland 1062, New Zealand"
"96 Jellicoe Street, Te Puke,NewZealand",-37.7843801,176.3275975,"96 Jellicoe Street, Te Puke 3119, New Zealand"
"463 Lake Road, Takapuna, Auckland,NewZealand",-36.7898563,174.7725683,"463 Lake Road, Takapuna, Auckland 0622, New Zealand"
"131 Lincoln Road, Henderson, Auckland,NewZealand",-36.86428069999999,174.6294233,"131 Lincoln Road, Henderson, Auckland 0610, New Zealand"
"179 High Street, Motueka,NewZealand",-41.1117345,173.0113171,"179 High Street, Motueka 7120, New Zealand"
"Ng¨¡ti Hine Health Trust, 2-4 Rayner Street, Kawakawa,NewZealand",-35.3789483,174.0636279,"2-4 Rayner Street, Kawakawa 0210, New Zealand"
"Mt Wellington Shopping Centre, 295 Penrose Road, Mount Wellington, Auckland,NewZealand",-36.9090808,174.8374863,"295 Penrose Road, Mount Wellington, Auckland 1060, New Zealand"
"Lynnmall Shopping Centre, 3058 Great North Road, New Lynn, Auckland,NewZealand",-36.9076512,174.6859924,"3058 Great North Road, New Lynn, Auckland 0640, New Zealand"
"18 Manukau Station Road, Manukau, Auckland,NewZealand",-36.993407,174.8824809,"18 Manukau Station Road, Manukau City Centre, Auckland 2104, New Zealand"
"104 Main Street, Gore,NewZealand",-46.10134069999999,168.9438734,"104 Main Street, Gore 9710, New Zealand"
"146 Sunnynook Road, Sunnynook, Auckland,NewZealand",-36.7606075,174.7396035,"146 Sunnynook Road, Sunnynook, Auckland 0620, New Zealand"
"521A Kamo Road, Kamo, Whang¨¡rei,NewZealand",-35.6833213,174.3006819,"521A Kamo Road, Kamo, Whangārei 0112, New Zealand"
"65 Victoria Street, H¨¡wera,NewZealand",-39.5872979,174.2804252,"65 Victoria Street, Hāwera 4610, New Zealand"
"1073 COLOMBO STREET, ST ALBANS, CHRISTCHURCH,NewZealand",-43.5135873,172.6364003,"1073 Colombo Street, St Albans, Christchurch 8014, New Zealand"
"281 College Street, West End, Palmerston North,NewZealand",-40.3660107,175.6069971,"281 College Street, West End, Palmerston North 4412, New Zealand"
"71 High Street, Hutt Central, Lower Hutt,NewZealand",-41.210691,174.900233,"71 High Street, Hutt Central, Lower Hutt 5010, New Zealand"
"Bethlehem Town Centre, 19 Bethlehem Road, Bethlehem, Tauranga,NewZealand",-37.6935968,176.1090236,"19 Bethlehem Road, Bethlehem, Tauranga 3110, New Zealand"
"123 Dominion Road, Mt Eden, Auckland,NewZealand",-36.8725812,174.7518844,"123 Dominion Road, Mount Eden, Auckland 1024, New Zealand"
