Vaccination_sites,Address,Latitude,Longitude
Dr's Hospital Seguku,"10km Along, Kampala - Entebbe Rd, Kampala, Uganda",0.2317996,32.5520906
Dufile Health Centre  III,"HW9F+JQQ, Uganda",3.5690897,31.9244973
Dzaipi Health Centre II,"Dzaipi, Onigo, Uganda",3.4499308,31.9398952
Entebbe Grade B Hospital,"Entebbe Grade B Hospital, Entebbe, Uganda",0.0591223,32.4710492
Etam Health Centre III,"MP52+RRV, Etam, Uganda",1.6596089,32.7020502
Fortpotal Regional Referral Hospital,"M73J+X3J, Mugurusi Rd, Fort Portal, Uganda",0.6549681,30.2801456
GADUMIRE Health Centre  III,"Gadumire, Uganda",1.1166667,33.5
Galiraya Health Centre  III,Uganda,1.343,32.8
Goli Health Centre  IV,Uganda,2.433,31.056
Gombe Hospital,"54F4+MHW, Kayenje, Uganda",0.1742499,32.1064668
Gulu Regional refferal Hospital,"laro division,, Q7HX+29W, Gulu, Uganda",2.7776119,32.2984425
Gweri Health Centre  III,Uganda,1.729,33.732
Hoima Regional Referral Hospital,"C9H3+7P5, Main Stree, Hoima, Uganda",1.4281309,31.3543732
Ibuje Health Centre III,"V9XH+9J7, Ibuje, Uganda",1.8984071,32.3790586
Iganga hospital,"JF8P+F2F, Main St, Iganga, Uganda",0.6161948,33.4850604
IGOMBE Health Centre  III,"Igombe, Uganda",0.6279,33.1865
Iki-Iki Health Centre  III,Uganda,1.1043,34.0120999
Ikumbya Health Centre  III,Uganda,0.984,33.325
Iriiri Health Centre  III,"468H+Q9G, Lothaa, Uganda",2.1169334,34.2284669
Irundu Health Centre  III,Uganda,1.2343,33.3678
Ishongororo Health Centre  IV,"Ishongororo, Uganda",0.0080309,30.5624474
Itojo Hospital,Uganda,-0.803,30.293
Itula Health Centre  III,"Power events ltd, Obongi, Uganda",3.4064811,31.6099324
Jangokoro H C III,"Jangokoro, Uganda",2.3545118,30.8900839
Kaabong hospital,"G48M+98Q, Kaabong, Uganda",3.5124836,34.1336758
Kabale regional referral,"PXXQ+JPG, Kabale, Uganda",-1.250947,29.9893275
Kabarwa Health Centre III,Uganda,1.435,34.148
Kaberamaido Hospital,"Kaberamaido, Uganda",1.7642785,33.1506163
Kabira Health Centre  III,Uganda,-0.64,31.616
Kabwangasi H CIII,"Kabwangasi, Uganda",1.133333,34.116667
Kabwohe Health Centre  IV,Uganda,-0.574,30.37
Kacheri Health Centre  III,Uganda,3.1656,33.9553
Kachumbala Health Centre III,"Kachumbala, Uganda",1.2136016,34.1191145
Kadama Health Centre  III,"2V8P+MJF, Kadama, Uganda",1.016697,33.886562
Kagadi General Hospital,"Mugalike/P.O.Box 4, Kagadi, Kagadi, Uganda",0.9420515,30.808904
Kagando hospital pnfp,"Off Fort Portal-Mpondwe Road/Privatebag Fort Portal-Mpondwe Rd, Kasese, Uganda",0.0630988,29.8981414
Kajjansi Health Centre  III,"Kajjansi, Uganda",0.2070254,32.5401025
Kakasi COU Health Centre  III,Uganda,-0.091,30.323
Kakingol Health Centre  III,Uganda,2.5892,34.7426
Kakoba Health Centre  III,"P.O.Box 290 Mbarara - Masaka Rd, Mbarara, Uganda",-0.6041974,30.6820931
Kakooge Health Centre  III,Uganda,1.034,32.4709999
Kakoro Health Centre  III,"53G4+X9Q, Kakoro, Uganda",1.1774712,34.0559864
Kakumiro Health Centre  IV,"Kakumiro, Uganda",0.7808035,31.3241389
Kakuto Health Centre  IV,"4FRJ+852, Kakuto, Uganda",-0.8592376,31.4804039
Kalagala Health Centre  IV,"Kalagala, Uganda",0.6148,32.6105
Kalangala Health Centre  IV,"Kalangala, Uganda",-0.3208374,32.2937428
Kalapata Health Centre  III,"Kalapata, Uganda",3.6643,34.1899
